# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-O" "--fracOverlap" "0.2" "-T" "6" "-p" "--donotsort" "-a" "consensus_peaks.mLb.clN.saf" "-o" "consensus_peaks.mLb.clN.featureCounts.txt" "UBR-18_R1.mLb.clN.bam" "UVR-11_R1.mLb.clN.bam" "UVR-14_R1.mLb.clN.bam" "PDR-4_R1.mLb.clN.bam" "DME-4_R1.mLb.clN.bam" 
Geneid	Chr	Start	End	Strand	Length	UBR-18_R1.mLb.clN.bam	UVR-11_R1.mLb.clN.bam	UVR-14_R1.mLb.clN.bam	PDR-4_R1.mLb.clN.bam	DME-4_R1.mLb.clN.bam
Interval_4561	chr13	52011798	52012439	+	642	106	90	65	102	55
Interval_4562	chr13	52159224	52159676	+	453	14	18	9	18	10
Interval_4563	chr13	52194416	52194756	+	341	21	23	11	14	11
Interval_4564	chr13	52450334	52450826	+	493	51	52	34	56	16
Interval_4565	chr13	52455009	52455515	+	507	81	70	55	91	44
Interval_4566	chr13	52616926	52617602	+	677	35	42	27	43	28
Interval_4567	chr13	52652186	52653106	+	921	129	108	68	113	50
Interval_4568	chr13	52968297	52968511	+	215	6	6	6	13	4
Interval_4569	chr13	53280124	53280307	+	184	1	3	1	10	0
Interval_4570	chr13	54044299	54044522	+	224	3	4	1	9	4
Interval_4571	chr13	56738479	56738679	+	201	1	0	1	9	3
Interval_4572	chr13	57632120	57632343	+	224	1	3	2	14	2
Interval_4573	chr13	59230783	59231014	+	232	2	5	1	9	2
Interval_4574	chr13	59658648	59658927	+	280	6	7	3	9	3
Interval_4575	chr13	60163744	60164451	+	708	74	61	35	56	40
Interval_4576	chr13	60396268	60397242	+	975	103	112	59	129	52
Interval_4577	chr13	61108715	61109164	+	450	7	13	5	20	9
Interval_4578	chr13	61161942	61162207	+	266	3	6	7	6	1
Interval_4579	chr13	62283279	62283512	+	234	5	5	5	10	1
Interval_4580	chr13	62729695	62729938	+	244	14	2	6	8	2
Interval_4581	chr13	63788595	63788791	+	197	1	7	9	1	2
Interval_4582	chr13	64025354	64025640	+	287	1	2	12	5	3
Interval_4583	chr13	65516773	65516958	+	186	10	3	2	3	1
Interval_4584	chr13	66255410	66255617	+	208	1	2	8	3	0
Interval_4585	chr13	67189174	67189376	+	203	2	1	7	1	3
Interval_4586	chr13	67229966	67230764	+	799	56	42	26	38	9
Interval_4587	chr13	69222355	69222680	+	326	1	2	5	11	2
Interval_4588	chr13	69995025	69995220	+	196	1	3	9	1	0
Interval_4589	chr13	70797760	70797947	+	188	7	4	3	1	4
Interval_4590	chr13	71291033	71291596	+	564	91	52	57	110	61
Interval_4591	chr13	72727364	72728073	+	710	126	102	63	106	58
Interval_4592	chr13	72781712	72782456	+	745	105	87	74	97	52
Interval_4593	chr13	73058614	73059206	+	593	73	46	38	67	46
Interval_4594	chr13	73228737	73228993	+	257	13	3	2	16	4
Interval_4595	chr13	73391763	73391950	+	188	4	3	0	9	1
Interval_4596	chr13	73715484	73716004	+	521	18	8	27	20	8
Interval_4597	chr13	73934059	73934338	+	280	12	7	6	8	1
Interval_4598	chr13	74133789	74134485	+	697	114	60	65	116	58
Interval_4599	chr13	74231070	74231330	+	261	6	11	8	13	5
Interval_4600	chr13	74244030	74244228	+	199	14	7	2	10	4
Interval_4601	chr13	74586130	74586502	+	373	1	4	2	11	0
Interval_4602	chr13	75326508	75327115	+	608	42	23	20	37	14
Interval_4603	chr13	75482251	75482682	+	432	21	21	15	21	14
Interval_4604	chr13	75537474	75538118	+	645	36	21	27	31	15
Interval_4605	chr13	75549284	75549999	+	716	122	81	71	104	37
Interval_4606	chr13	75636327	75636724	+	398	16	15	7	17	9
Interval_4607	chr13	75760299	75760648	+	350	5	11	16	7	3
Interval_4608	chr13	75762676	75762880	+	205	6	12	6	17	6
Interval_4609	chr13	76410326	76410628	+	303	14	4	7	7	2
Interval_4610	chr13	76879597	76879908	+	312	25	12	8	14	10
Interval_4611	chr13	76885682	76886093	+	412	25	13	21	29	9
Interval_4612	chr13	76886305	76886632	+	328	25	25	10	26	6
Interval_4613	chr13	76918182	76918371	+	190	1	8	5	11	1
Interval_4614	chr13	76991254	76992218	+	965	138	78	73	157	54
Interval_4615	chr13	77026753	77027335	+	583	44	27	28	18	21
Interval_4616	chr13	77326701	77327292	+	592	76	53	39	66	39
Interval_4617	chr13	77329196	77329854	+	659	64	44	41	61	38
Interval_4618	chr13	77478310	77478585	+	276	10	16	8	8	6
Interval_4619	chr13	77697104	77697817	+	714	48	37	21	45	16
Interval_4620	chr13	77779618	77779926	+	309	4	16	4	8	2
Interval_4621	chr13	77918614	77918911	+	298	13	10	2	8	4
Interval_4622	chr13	78250883	78251102	+	220	3	11	3	0	0
Interval_4623	chr13	78375610	78375827	+	218	0	4	6	3	2
Interval_4624	chr13	78464048	78464251	+	204	7	1	4	6	1
Interval_4625	chr13	78562392	78562646	+	255	3	13	3	1	1
Interval_4626	chr13	78658764	78659199	+	436	27	22	17	22	15
Interval_4627	chr13	79079110	79079302	+	193	5	2	3	7	1
Interval_4628	chr13	79161874	79162062	+	189	6	2	8	4	0
Interval_4629	chr13	79405827	79406688	+	862	64	43	35	58	35
Interval_4630	chr13	79481065	79481745	+	681	25	19	20	44	20
Interval_4631	chr13	80168502	80168872	+	371	21	25	12	10	10
Interval_4632	chr13	80238830	80239070	+	241	4	13	3	5	3
Interval_4633	chr13	81165049	81165297	+	249	2	1	4	10	6
Interval_4634	chr13	81911286	81911485	+	200	2	3	0	11	2
Interval_4635	chr13	81956588	81956785	+	198	4	5	3	11	7
Interval_4636	chr13	82661572	82661818	+	247	4	12	4	4	4
Interval_4637	chr13	83072933	83073114	+	182	2	1	3	11	3
Interval_4638	chr13	83669382	83669587	+	206	12	1	6	12	4
Interval_4639	chr13	83759811	83759997	+	187	10	2	5	5	1
Interval_4640	chr13	84126914	84127325	+	412	9	14	8	19	14
Interval_4641	chr13	84137162	84137616	+	455	42	40	21	51	22
Interval_4642	chr13	87671300	87671590	+	291	18	22	7	9	9
Interval_4643	chr13	87677629	87677832	+	204	4	5	4	12	6
Interval_4644	chr13	87894302	87894512	+	211	5	4	4	13	1
Interval_4645	chr13	88895637	88895930	+	294	5	12	4	2	2
Interval_4646	chr13	91069145	91069327	+	183	2	3	1	10	0
Interval_4647	chr13	91314390	91314588	+	199	3	1	1	8	0
Interval_4648	chr13	91347006	91347788	+	783	52	35	23	50	27
Interval_4649	chr13	91348470	91348801	+	332	16	20	11	24	8
Interval_4650	chr13	91398547	91398826	+	280	22	20	19	18	8
Interval_4651	chr13	91752879	91753069	+	191	10	3	1	1	1
Interval_4652	chr13	93742735	93742984	+	250	2	0	4	9	0
Interval_4653	chr13	93891887	93892100	+	214	10	12	6	6	5
Interval_4654	chr13	94548988	94550066	+	1079	93	69	46	99	48
Interval_4655	chr13	94595861	94596490	+	630	59	42	36	53	37
Interval_4656	chr13	94601557	94602094	+	538	55	56	39	63	25
Interval_4657	chr13	94732620	94732922	+	303	1	4	2	10	1
Interval_4658	chr13	94848522	94848723	+	202	8	3	2	2	0
Interval_4659	chr13	95301015	95301443	+	429	9	15	5	17	7
Interval_4660	chr13	95345219	95345483	+	265	4	8	0	18	0
Interval_4661	chr13	95478471	95478917	+	447	28	22	13	27	16
Interval_4662	chr13	95676691	95677316	+	626	123	107	78	130	52
Interval_4663	chr13	96053143	96053440	+	298	9	20	7	9	2
Interval_4664	chr13	96168086	96168276	+	191	3	5	4	8	0
Interval_4665	chr13	96365415	96365638	+	224	6	11	3	3	0
Interval_4666	chr13	96909817	96910171	+	355	5	18	7	9	2
Interval_4667	chr13	97018068	97018240	+	173	11	13	3	6	2
Interval_4668	chr13	97222164	97222346	+	183	38	36	25	46	16
Interval_4669	chr13	97432952	97433990	+	1039	295	238	148	281	118
Interval_4670	chr13	97601079	97601256	+	178	9	2	2	3	3
Interval_4671	chr13	97617062	97617324	+	263	0	2	3	9	6
Interval_4672	chr13	97821005	97821279	+	275	7	8	11	6	5
Interval_4673	chr13	97873027	97873243	+	217	13	8	2	1	3
Interval_4674	chr13	97960877	97961202	+	326	17	6	9	4	2
Interval_4675	chr13	97976099	97976525	+	427	46	48	34	54	18
Interval_4676	chr13	98445511	98445915	+	405	12	15	12	18	8
Interval_4677	chr13	98509347	98509643	+	297	9	15	6	21	7
Interval_4678	chr13	98619412	98619671	+	260	8	2	4	1	7
Interval_4679	chr13	99046040	99046470	+	431	19	18	13	24	10
Interval_4680	chr13	99087454	99087980	+	527	47	25	32	30	17
Interval_4681	chr13	99200480	99201146	+	667	68	60	39	77	34
Interval_4682	chr13	99258387	99258654	+	268	13	8	3	18	5
Interval_4683	chr13	99356435	99356736	+	302	17	16	16	30	12
Interval_4684	chr13	99434400	99434671	+	272	24	21	16	28	12
Interval_4685	chr13	99436994	99437173	+	180	35	24	16	19	17
Interval_4686	chr13	99484554	99484836	+	283	9	9	8	15	3
Interval_4687	chr13	99496417	99496824	+	408	22	18	24	23	22
Interval_4688	chr13	99498393	99498789	+	397	55	38	29	63	24
Interval_4689	chr13	99501155	99501694	+	540	59	46	29	47	23
Interval_4690	chr13	99606134	99606948	+	815	62	53	32	51	30
Interval_4691	chr13	99796163	99796381	+	219	3	13	4	4	4
Interval_4692	chr13	99818164	99818404	+	241	12	6	3	22	7
Interval_4693	chr13	100089575	100089785	+	211	8	15	5	10	3
Interval_4694	chr13	100588809	100589030	+	222	15	14	6	10	11
Interval_4695	chr13	100674871	100675523	+	653	104	50	41	87	38
Interval_4696	chr13	101627094	101627568	+	475	23	10	7	22	4
Interval_4697	chr13	102183983	102184272	+	290	5	16	5	5	1
Interval_4698	chr13	102394291	102394816	+	526	42	29	29	42	22
Interval_4699	chr13	102596236	102596989	+	754	136	104	74	164	69
Interval_4700	chr13	102773308	102774060	+	753	64	42	38	48	39
Interval_4701	chr13	102845502	102846205	+	704	74	50	59	71	41
Interval_4702	chr13	102846553	102846870	+	318	18	17	10	26	10
Interval_4703	chr13	103134166	103134389	+	224	8	4	1	2	1
Interval_4704	chr13	103370929	103371216	+	288	5	3	4	2	8
Interval_4705	chr13	105004600	105004912	+	313	8	9	0	11	2
Interval_4706	chr13	105139471	105140262	+	792	93	79	43	79	36
Interval_4707	chr13	105313596	105313816	+	221	14	7	1	2	2
Interval_4708	chr13	106535608	106536186	+	579	72	66	23	70	20
Interval_4709	chr13	106567689	106568453	+	765	86	70	47	81	32
Interval_4710	chr13	106570511	106570732	+	222	43	37	9	34	13
Interval_4711	chr13	106917946	106918184	+	239	19	12	10	12	8
Interval_4712	chr13	107512013	107512293	+	281	3	3	2	9	3
Interval_4713	chr13	107951140	107951481	+	342	17	3	2	5	2
Interval_4714	chr13	108215511	108215692	+	182	31	18	13	26	12
Interval_4715	chr13	108218121	108218650	+	530	44	45	35	50	25
Interval_4716	chr13	108269705	108270106	+	402	21	22	20	21	14
Interval_4717	chr13	108802190	108802561	+	372	2	2	2	14	1
Interval_4718	chr13	109842580	109842799	+	220	4	17	5	5	2
Interval_4719	chr13	109860309	109860490	+	182	3	2	5	11	1
Interval_4720	chr13	110615435	110615694	+	260	16	9	4	9	7
Interval_4721	chr13	110676252	110676682	+	431	11	9	10	15	2
Interval_4722	chr13	110706087	110706646	+	560	48	53	26	47	37
Interval_4723	chr13	110712563	110713578	+	1016	188	180	118	192	104
Interval_4724	chr13	110715312	110715810	+	499	151	115	71	157	75
Interval_4725	chr13	110914764	110915565	+	802	93	77	43	70	32
Interval_4726	chr13	111153386	111154172	+	787	63	53	65	40	27
Interval_4727	chr13	111189163	111189408	+	246	14	5	7	5	7
Interval_4728	chr13	111963130	111963361	+	232	7	11	1	13	0
Interval_4729	chr13	112277883	112278100	+	218	4	14	4	4	0
Interval_4730	chr13	112588128	112588400	+	273	14	21	10	6	6
Interval_4731	chr13	112942811	112943125	+	315	21	22	11	22	8
Interval_4732	chr13	113208453	113208750	+	298	16	21	18	24	12
Interval_4733	chr13	113296932	113297221	+	290	29	20	8	19	9
Interval_4734	chr13	113490341	113490532	+	192	9	5	7	4	2
Interval_4735	chr13	113490691	113491064	+	374	21	34	16	27	18
Interval_4736	chr13	113607560	113607742	+	183	15	12	8	11	6
Interval_4737	chr13	113656018	113656402	+	385	5	9	9	6	9
Interval_4738	chr13	113724966	113725329	+	364	30	29	18	23	13
Interval_4739	chr13	113758732	113759271	+	540	26	34	16	19	17
Interval_4740	chr13	114065421	114065891	+	471	21	24	16	26	7
Interval_4741	chr13	114142738	114143151	+	414	24	11	9	17	16
Interval_4742	chr13	114148265	114148884	+	620	39	25	15	54	22
Interval_4743	chr13	114268473	114268648	+	176	13	7	10	14	3
Interval_4744	chr13	114281232	114282158	+	927	63	42	36	47	29
Interval_4745	chr13	114314301	114314544	+	244	22	14	22	10	6
Interval_4746	chr13	114339929	114340388	+	460	14	16	8	23	11
Interval_4747	chr14	18333365	18333645	+	281	9	7	15	10	3
Interval_4748	chr14	18426243	18426524	+	282	8	5	4	10	3
Interval_4749	chr14	18609772	18610178	+	407	3	19	7	8	3
Interval_4750	chr14	18612751	18613060	+	310	4	17	6	5	2
Interval_4751	chr14	18616943	18617256	+	314	13	17	12	5	8
Interval_4752	chr14	18617723	18617914	+	192	0	11	8	0	2
Interval_4753	chr14	18668001	18668543	+	543	14	23	10	20	2
Interval_4754	chr14	18914624	18914840	+	217	6	15	11	3	8
Interval_4755	chr14	18930763	18931064	+	302	6	12	4	6	0
Interval_4756	chr14	18950064	18950377	+	314	13	14	9	7	6
Interval_4757	chr14	18963314	18963747	+	434	14	23	11	8	7
Interval_4758	chr14	18968142	18968456	+	315	5	13	7	1	2
Interval_4759	chr14	19002612	19003028	+	417	12	24	13	10	6
Interval_4760	chr14	19007754	19008318	+	565	15	33	15	8	9
Interval_4761	chr14	19009002	19009267	+	266	2	10	6	2	2
Interval_4762	chr14	19014861	19015117	+	257	20	11	10	6	0
Interval_4763	chr14	19096698	19097130	+	433	22	35	13	16	9
Interval_4764	chr14	19097315	19097596	+	282	26	25	16	13	2
Interval_4765	chr14	19098771	19099173	+	403	18	28	25	14	12
Interval_4766	chr14	19105543	19105993	+	451	15	17	16	8	2
Interval_4767	chr14	19161197	19162121	+	925	45	90	43	37	20
Interval_4768	chr14	19162386	19162636	+	251	10	35	17	10	9
Interval_4769	chr14	19168068	19168360	+	293	15	36	19	11	11
Interval_4770	chr14	19219529	19219715	+	187	18	13	7	4	3
Interval_4771	chr14	19220716	19220969	+	254	8	15	4	14	3
Interval_4772	chr14	19237751	19237996	+	246	19	10	8	10	2
Interval_4773	chr14	19239850	19240091	+	242	12	17	9	12	6
Interval_4774	chr14	19344113	19344355	+	243	8	17	5	4	5
Interval_4775	chr14	19344449	19344789	+	341	12	16	15	8	6
Interval_4776	chr14	19345366	19345630	+	265	3	24	7	2	7
Interval_4777	chr14	19350656	19350890	+	235	9	14	13	9	8
Interval_4778	chr14	19362536	19362896	+	361	10	25	7	13	5
Interval_4779	chr14	19371808	19372071	+	264	5	26	4	6	0
Interval_4780	chr14	19374188	19374614	+	427	22	23	12	16	7
Interval_4781	chr14	19384129	19384533	+	405	15	19	14	9	5
Interval_4782	chr14	19393091	19393304	+	214	6	15	4	3	3
Interval_4783	chr14	19394754	19395005	+	252	13	27	13	6	7
Interval_4784	chr14	19402196	19402417	+	222	2	15	4	5	2
Interval_4785	chr14	19427197	19427707	+	511	7	17	16	4	6
Interval_4786	chr14	19436160	19436413	+	254	15	13	6	2	4
Interval_4787	chr14	19487250	19487555	+	306	7	34	9	11	8
Interval_4788	chr14	19487907	19488298	+	392	15	13	7	6	7
Interval_4789	chr14	19488307	19488769	+	463	9	24	20	6	3
Interval_4790	chr14	19490309	19490487	+	179	9	7	3	2	1
Interval_4791	chr14	19678757	19679232	+	476	23	36	13	17	9
Interval_4792	chr14	19679745	19680040	+	296	9	21	6	5	8
Interval_4793	chr14	19689488	19689804	+	317	7	9	8	6	1
Interval_4794	chr14	19708998	19709298	+	301	2	11	4	4	2
Interval_4795	chr14	20305778	20306046	+	269	21	14	13	21	10
Interval_4796	chr14	20343088	20343778	+	691	81	60	51	58	25
Interval_4797	chr14	20454570	20455537	+	968	118	103	76	121	54
Interval_4798	chr14	20461285	20461969	+	685	208	170	103	207	120
Interval_4799	chr14	20469272	20470089	+	818	40	31	21	47	22
Interval_4800	chr14	20613194	20613828	+	635	68	46	26	63	27
Interval_4801	chr14	20633019	20633240	+	222	16	10	7	18	7
Interval_4802	chr14	20663171	20663351	+	181	10	10	7	11	6
Interval_4803	chr14	20683147	20683441	+	295	15	18	12	18	14
Interval_4804	chr14	20683726	20683937	+	212	8	9	7	16	4
Interval_4805	chr14	20684005	20684454	+	450	23	28	18	21	8
Interval_4806	chr14	20782229	20782473	+	245	3	8	8	7	2
Interval_4807	chr14	20970938	20971712	+	775	32	47	30	45	21
Interval_4808	chr14	21070787	21071310	+	524	8	38	10	8	6
Interval_4809	chr14	21087509	21087793	+	285	28	27	21	29	13
Interval_4810	chr14	21103638	21104302	+	665	85	53	47	81	37
Interval_4811	chr14	21269389	21270100	+	712	189	159	85	155	93
Interval_4812	chr14	21308583	21309026	+	444	30	23	25	21	18
Interval_4813	chr14	21383945	21384651	+	707	53	43	40	50	40
Interval_4814	chr14	21437097	21437617	+	521	50	37	35	36	36
Interval_4815	chr14	21455923	21456478	+	556	161	102	80	137	69
Interval_4816	chr14	21476591	21477382	+	792	100	97	51	106	54
Interval_4817	chr14	21511161	21511606	+	446	51	37	29	48	25
Interval_4818	chr14	22556220	22556888	+	669	87	47	37	70	28
Interval_4819	chr14	22570291	22570567	+	277	42	29	8	23	7
Interval_4820	chr14	22589011	22589864	+	854	128	90	81	87	59
Interval_4821	chr14	22597804	22598287	+	484	20	13	14	13	7
Interval_4822	chr14	22766468	22767074	+	607	42	34	28	28	16
Interval_4823	chr14	22829694	22830064	+	371	14	20	13	15	13
Interval_4824	chr14	22853195	22853563	+	369	20	15	12	6	8
Interval_4825	chr14	22871409	22871951	+	543	15	18	20	35	10
Interval_4826	chr14	22886669	22886885	+	217	14	9	10	17	7
Interval_4827	chr14	22918885	22919553	+	669	132	103	70	113	74
Interval_4828	chr14	22929359	22929800	+	442	83	75	50	101	50
Interval_4829	chr14	22956885	22957486	+	602	25	27	13	19	9
Interval_4830	chr14	23006915	23007319	+	405	76	71	55	62	40
Interval_4831	chr14	23034682	23035363	+	682	74	36	44	60	38
Interval_4832	chr14	23094825	23095638	+	814	144	133	88	124	95
Interval_4833	chr14	23285893	23286672	+	780	90	60	56	60	52
Interval_4834	chr14	23301469	23302704	+	1236	134	103	67	126	68
Interval_4835	chr14	23320922	23321465	+	544	221	149	95	217	97
Interval_4836	chr14	23469075	23469750	+	676	157	120	90	102	47
Interval_4837	chr14	23555898	23556307	+	410	30	29	27	32	19
Interval_4838	chr14	23589166	23589353	+	188	10	10	15	10	7
Interval_4839	chr14	23953579	23954266	+	688	37	29	22	37	25
Interval_4840	chr14	24006911	24007139	+	229	7	12	8	10	6
Interval_4841	chr14	24081112	24081297	+	186	7	11	7	18	4
Interval_4842	chr14	24094200	24094682	+	483	30	17	14	20	12
Interval_4843	chr14	24108750	24109060	+	311	15	20	15	26	7
Interval_4844	chr14	24114157	24115261	+	1105	243	216	128	246	125
Interval_4845	chr14	24135986	24136456	+	471	81	60	39	63	37
Interval_4846	chr14	24141258	24141984	+	727	111	98	61	121	56
Interval_4847	chr14	24146725	24147547	+	823	127	104	69	120	65
Interval_4848	chr14	24161032	24161351	+	320	37	47	17	47	19
Interval_4849	chr14	24171846	24172094	+	249	16	13	9	24	9
Interval_4850	chr14	24195214	24195954	+	741	42	37	29	42	24
Interval_4851	chr14	24213122	24213629	+	508	61	55	33	58	37
Interval_4852	chr14	24215638	24216240	+	603	70	36	30	59	32
Interval_4853	chr14	24232187	24232850	+	664	47	41	20	29	21
Interval_4854	chr14	24242293	24243137	+	845	162	126	91	128	67
Interval_4855	chr14	24271180	24272082	+	903	70	59	45	78	45
Interval_4856	chr14	24310815	24311380	+	566	42	34	27	37	12
Interval_4857	chr14	24339798	24340030	+	233	12	12	9	5	7
Interval_4858	chr14	24374290	24374459	+	170	15	5	3	5	1
Interval_4859	chr14	24442400	24443007	+	608	91	57	50	64	44
Interval_4860	chr14	24634230	24634485	+	256	21	17	9	24	22
Interval_4861	chr14	24660147	24660375	+	229	8	2	3	6	3
Interval_4862	chr14	24673515	24673758	+	244	22	14	9	19	3
Interval_4863	chr14	24692957	24693281	+	325	14	13	7	34	3
Interval_4864	chr14	25496639	25496880	+	242	4	13	8	2	2
Interval_4865	chr14	25736349	25736536	+	188	11	3	1	2	2
Interval_4866	chr14	26070318	26070614	+	297	4	6	1	2	8
Interval_4867	chr14	27068659	27068852	+	194	1	9	7	11	2
Interval_4868	chr14	27507127	27507341	+	215	4	6	4	13	3
Interval_4869	chr14	27739337	27739561	+	225	0	0	7	2	1
Interval_4870	chr14	28450692	28450950	+	259	6	13	2	4	1
Interval_4871	chr14	28468468	28468695	+	228	2	0	2	2	9
Interval_4872	chr14	28933269	28933466	+	198	1	0	2	7	0
Interval_4873	chr14	29017713	29017911	+	199	5	6	1	13	3
Interval_4874	chr14	30559036	30559514	+	479	34	22	29	17	14
Interval_4875	chr14	30622012	30622737	+	726	42	31	20	52	26
Interval_4876	chr14	30690426	30690686	+	261	7	2	0	9	1
Interval_4877	chr14	31026311	31026906	+	596	51	35	38	33	24
Interval_4878	chr14	31127789	31128003	+	215	27	12	18	35	10
Interval_4879	chr14	31207051	31208498	+	1448	109	88	66	99	73
Interval_4880	chr14	31356158	31356393	+	236	25	6	7	8	10
Interval_4881	chr14	31420416	31420937	+	522	54	52	35	50	28
Interval_4882	chr14	31457130	31457645	+	516	55	59	36	65	40
Interval_4883	chr14	31561284	31561735	+	452	40	31	29	46	13
Interval_4884	chr14	32076299	32076535	+	237	11	14	7	6	7
Interval_4885	chr14	32203272	32203957	+	686	19	35	15	34	15
Interval_4886	chr14	32551051	32551321	+	271	5	15	1	2	3
Interval_4887	chr14	34007906	34008125	+	220	11	7	5	4	0
Interval_4888	chr14	34060302	34060515	+	214	15	14	3	5	3
Interval_4889	chr14	34539228	34540158	+	931	52	51	37	60	27
Interval_4890	chr14	34547950	34548209	+	260	18	5	10	11	4
Interval_4891	chr14	34554659	34554868	+	210	11	7	9	7	2
Interval_4892	chr14	34629790	34630434	+	645	34	33	20	39	29
Interval_4893	chr14	34873541	34874383	+	843	31	39	29	39	32
Interval_4894	chr14	34982324	34983165	+	842	97	75	74	113	55
Interval_4895	chr14	35045797	35046686	+	890	102	98	73	99	40
Interval_4896	chr14	35121816	35122742	+	927	97	56	49	85	45
Interval_4897	chr14	35292060	35292674	+	615	83	71	66	102	40
Interval_4898	chr14	35403555	35403971	+	417	25	49	12	22	19
Interval_4899	chr14	35404468	35404952	+	485	52	63	32	33	25
Interval_4900	chr14	35416847	35417118	+	272	9	10	14	17	13
Interval_4901	chr14	35808809	35809473	+	665	76	72	43	112	38
Interval_4902	chr14	35826122	35826864	+	743	114	88	73	114	60
Interval_4903	chr14	36320319	36320989	+	671	49	25	26	45	25
Interval_4904	chr14	36847974	36848364	+	391	19	8	3	6	3
Interval_4905	chr14	37168937	37169253	+	317	6	3	13	5	1
Interval_4906	chr14	37961139	37961358	+	220	1	3	2	6	3
Interval_4907	chr14	38065186	38065618	+	433	49	31	23	50	23
Interval_4908	chr14	38078564	38078925	+	362	10	11	7	19	7
Interval_4909	chr14	38190431	38190650	+	220	5	13	0	1	1
Interval_4910	chr14	39102959	39103462	+	504	30	33	20	40	27
Interval_4911	chr14	39114163	39114525	+	363	38	40	27	44	21
Interval_4912	chr14	39170444	39170630	+	187	24	17	7	15	12
Interval_4913	chr14	39174849	39175646	+	798	169	134	80	163	88
Interval_4914	chr14	39266741	39267909	+	1169	49	57	30	64	34
Interval_4915	chr14	39432150	39432964	+	815	112	99	54	101	62
Interval_4916	chr14	41330161	41330392	+	232	4	5	8	4	1
Interval_4917	chr14	42052781	42053052	+	272	2	14	3	5	3
Interval_4918	chr14	42571613	42571914	+	302	2	8	1	9	3
Interval_4919	chr14	42636614	42636860	+	247	2	3	2	8	1
Interval_4920	chr14	43639462	43639670	+	209	6	6	4	11	1
Interval_4921	chr14	43666289	43666513	+	225	2	12	3	4	1
Interval_4922	chr14	44896984	44897656	+	673	112	82	62	111	47
Interval_4923	chr14	44961675	44962519	+	845	144	133	75	166	85
Interval_4924	chr14	45083965	45084490	+	526	53	38	27	46	18
Interval_4925	chr14	45134162	45134747	+	586	94	81	60	110	37
Interval_4926	chr14	45253016	45253609	+	594	76	75	26	71	37
Interval_4927	chr14	48996342	48996646	+	305	16	4	1	4	1
Interval_4928	chr14	49585942	49587035	+	1094	113	80	69	89	69
Interval_4929	chr14	49598602	49599229	+	628	51	28	22	26	21
Interval_4930	chr14	49620286	49621208	+	923	88	70	54	75	55
Interval_4931	chr14	49633912	49635003	+	1092	109	73	57	81	48
Interval_4932	chr14	49692951	49693495	+	545	33	29	17	30	18
Interval_4933	chr14	49767517	49768201	+	685	53	38	34	44	23
Interval_4934	chr14	49852650	49853127	+	478	24	30	11	34	17
Interval_4935	chr14	49862192	49863314	+	1123	89	92	60	85	50
Interval_4936	chr14	49868272	49868554	+	283	60	50	31	65	31
Interval_4937	chr14	49892475	49893572	+	1098	81	62	32	76	37
Interval_4938	chr14	50001980	50002563	+	584	26	15	33	30	23
Interval_4939	chr14	50003281	50003604	+	324	27	23	17	30	11
Interval_4940	chr14	50038574	50039067	+	494	30	45	18	16	4
Interval_4941	chr14	50082319	50082669	+	351	13	9	21	28	20
Interval_4942	chr14	50116413	50116890	+	478	54	32	28	52	22
Interval_4943	chr14	50171078	50171281	+	204	1	5	1	9	1
Interval_4944	chr14	50231620	50232329	+	710	39	48	22	44	24
Interval_4945	chr14	50311894	50312922	+	1029	83	64	39	80	51
Interval_4946	chr14	50321170	50321441	+	272	39	14	24	29	12
Interval_4947	chr14	50363845	50364030	+	186	10	11	14	19	9
Interval_4948	chr14	50397049	50397376	+	328	8	16	4	7	3
Interval_4949	chr14	50401746	50402036	+	291	2	5	10	0	1
Interval_4950	chr14	50532330	50533024	+	695	42	39	37	67	28
Interval_4951	chr14	50560841	50561076	+	236	1	7	10	9	6
Interval_4952	chr14	50821723	50822038	+	316	10	20	9	9	4
Interval_4953	chr14	50830011	50830514	+	504	30	17	16	25	9
Interval_4954	chr14	50831180	50831502	+	323	29	32	13	26	20
Interval_4955	chr14	51094968	51095588	+	621	75	50	27	34	30
Interval_4956	chr14	51240030	51240647	+	618	27	37	33	27	11
Interval_4957	chr14	51651435	51651662	+	228	11	10	13	7	7
Interval_4958	chr14	51651871	51652345	+	475	26	29	16	35	12
Interval_4959	chr14	51846693	51847637	+	945	122	74	56	134	56
Interval_4960	chr14	51860520	51861042	+	523	19	23	14	32	15
Interval_4961	chr14	51884498	51884718	+	221	6	12	6	12	3
Interval_4962	chr14	51905870	51906095	+	226	17	16	14	6	5
Interval_4963	chr14	51989151	51989954	+	804	51	62	38	51	31
Interval_4964	chr14	52176029	52176270	+	242	10	10	7	17	15
Interval_4965	chr14	52314144	52314331	+	188	20	19	10	10	10
Interval_4966	chr14	52315381	52315623	+	243	13	22	10	7	2
Interval_4967	chr14	52552277	52552885	+	609	167	136	113	169	90
Interval_4968	chr14	52694859	52695147	+	289	8	12	8	13	5
Interval_4969	chr14	52706800	52707420	+	621	46	42	32	58	34
Interval_4970	chr14	52729762	52730436	+	675	69	64	42	68	44
Interval_4971	chr14	52791258	52791731	+	474	53	39	36	76	29
Interval_4972	chr14	52918396	52918861	+	466	37	26	17	48	17
Interval_4973	chr14	53109069	53109437	+	369	9	12	12	16	11
